020 036 192 008 001
assets/sprites/tilesets/tileset-29.png
100 101 102 103 160 161 162 163 164 165 164 165 122 025 122 122 138 025 006 007 
116 117 118 119 176 177 178 179 180 181 180 181 025 122 025 025 025 025 022 023 
132 133 134 135 164 165 123 025 025 025 122 122 122 025 025 025 025 138 025 123 
148 149 150 151 180 181 138 025 025 138 025 025 138 025 025 122 025 025 138 025 
160 161 162 163 122 139 123 138 104 105 106 107 106 107 108 109 122 025 122 122 
176 177 178 179 025 025 025 123 120 121 122 122 122 122 124 125 025 122 025 025 
164 165 123 025 025 025 042 043 136 137 122 123 122 122 140 141 122 025 025 025 
180 181 138 025 122 025 058 059 136 137 122 122 122 122 140 141 138 025 025 122 
123 025 025 138 104 105 106 107 122 122 122 122 122 122 124 125 166 167 166 167 
138 025 025 025 120 121 122 122 122 122 123 018 122 122 140 141 182 183 182 183 
025 123 164 165 136 137 122 123 122 123 128 129 142 143 156 141 166 167 166 167 
025 025 180 181 136 137 122 122 122 018 144 145 158 159 170 173 182 183 182 183 
166 167 166 167 120 121 122 122 123 122 140 141 166 167 166 167 166 167 166 167 
182 183 182 183 136 137 122 122 122 122 140 141 182 183 182 183 182 183 182 183 
166 167 166 167 152 153 142 143 154 155 156 141 166 167 166 167 166 167 166 167 
182 183 182 183 168 169 158 159 170 171 170 173 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 121 122 025 138 025 025 025 138 025 025 025 138 
182 183 182 183 182 183 182 183 137 122 138 025 025 025 138 138 025 025 138 138 
166 167 166 167 166 167 166 167 137 123 138 139 138 123 123 123 138 123 123 123 
182 183 182 183 182 183 182 183 168 154 154 154 154 154 154 154 154 154 154 154 
166 167 166 167 098 099 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 114 115 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 122 122 025 025 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 122 025 025 122 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 025 025 010 011 166 167 166 167 166 167 166 167 098 099 166 167 
182 183 182 183 122 025 026 027 182 183 182 183 182 183 182 183 114 115 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 025 123 164 165 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 138 138 180 181 
166 167 098 099 166 167 166 167 166 167 098 099 098 099 166 167 164 165 006 007 
182 183 114 115 182 183 182 183 182 183 114 115 114 115 182 183 180 181 022 023 
