040 036 192 008 001
assets/sprites/tilesets/tileset-29.png
164 165 122 025 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 122 122 025 025 164 165 164 165 
180 181 025 025 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 122 025 025 122 180 181 180 181 
138 025 025 025 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 025 025 010 011 025 025 122 122 
138 025 138 025 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 122 025 026 027 025 138 025 025 
122 025 122 122 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 122 025 122 122 138 025 006 007 
025 122 025 025 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 025 122 025 025 025 025 022 023 
122 025 025 025 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 122 025 025 025 025 138 025 123 
138 025 025 122 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 138 025 025 122 025 025 138 025 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 122 025 122 122 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 025 122 025 025 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 122 025 025 025 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 138 025 025 122 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 122 139 123 138 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 025 025 025 123 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 025 025 042 043 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 122 025 058 059 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 182 183 
166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 166 167 
